customer_id,loan_count,total_amount_overdue,maturity_dpd,total_missed_installment,has_14plus_dpd,count_14plus_dpd,tenor_in_months,ontime_repayment_rate,age,gender,marital_status,state,location,purpose,employment_status,dw_channel_key,total_loan_amount,income,income_bracket,age_category,missed_payment_ratio,overdue_utilization,monthly_loan_volume,repayment_efficiency,segment
304,1,71817.06,0,1,0,0,3.0,22.22,51,Unknown,1,Lagos,Lagos ,8,2,1,639952.17,583697.7,500k - 799k,44-65,0.33333322222225925,0.11222254313144647,213317.31889422704,0.22219999999999998,Low Risk - Low Value
307,1,0.0,0,0,0,0,2.0,0.0,35,Unknown,4,Edo,Benin ,4,2,1,1189930.99,5238277.22,1.2M and above,33-37,0.0,0.0,594965.1975174012,0.0,Low Risk - Low Value
313,2,0.0,0,3,0,0,10.0,41.09,57,Unknown,1,Lagos,Ojo road Apapa,8,0,1,11183823.25,316181.63,300k - 499k,44-65,0.299999970000003,0.0,1118382.2131617789,0.41090000000000004,Low Risk - High Value
315,1,0.0,0,0,0,0,4.0,48.66,30,Unknown,4,Lagos,Lagos ,2,0,1,882088.95,142500.0,70k - 149k,28-33,0.0,0.0,220522.1823694544,0.4866,Low Risk - Low Value
316,1,0.0,0,0,0,0,6.0,46.9,35,Unknown,1,Lagos,Ojota,8,2,1,764747.58,341666.67,300k - 499k,33-37,0.0,0.0,127457.9087570152,0.469,Low Risk - Low Value
317,1,0.0,0,0,0,0,2.0,16.66,37,Unknown,1,Kwara,Ilorin south ,6,2,1,72602.78,348038.55,300k - 499k,33-37,0.0,0.0,36301.37184931407,0.1666,Low Risk - Low Value
320,2,181689.93,0,5,0,0,10.0,45.16,26,Unknown,4,Oyo,Ibadan ,8,0,1,8871572.2,226069.61,150k - 299k,18-28,0.499999950000005,0.0204800148050398,887157.1312842869,0.45159999999999995,Medium Risk - High Value
321,2,0.0,0,3,0,0,3.0,13.88,46,Unknown,1,Lagos,Surulere ,8,0,1,308342.01,79937.7,70k - 149k,44-65,0.9999996666667778,0.0,102780.63573978808,0.1388,High Risk
329,1,26431.5,0,3,0,0,3.0,0.0,27,Unknown,4,Lagos,Lagos ,8,0,1,118352.13,179849.4,150k - 299k,18-28,0.9999996666667778,0.2233293139699021,39450.696849767715,0.0,High Risk
334,1,26564.44,29,2,0,0,3.0,40.0,28,Unknown,1,Lagos,Lagos ,8,0,1,197253.55,96728.64,70k - 149k,18-28,0.6666664444445185,0.13467154329980538,65751.16141627952,0.4,High Risk
351,1,0.0,0,1,0,0,3.0,0.0,28,Unknown,4,Osun,Ede Township ,8,2,1,820233.7,985491.64,800k - 1.19M,18-28,0.33333322222225925,0.0,273411.1421962859,0.0,Low Risk - Low Value
355,2,0.0,0,3,0,0,3.0,0.0,34,Unknown,1,Lagos,Igbogbo,9,2,1,6241045.4,34983.0,<69k,33-37,0.9999996666667778,0.0,2080347.773217409,0.0,High Risk
357,1,0.0,0,0,0,0,12.0,16.66,29,Unknown,4,Lagos,Lagos ,8,0,1,1402483.31,477364.0,300k - 499k,28-33,0.0,0.0,116873.59942720005,0.1666,Low Risk - Low Value
359,1,0.0,0,0,0,0,3.0,33.33,61,Unknown,1,Lagos,Iyana Ipaja,8,2,1,574549.5,1107845.11,800k - 1.19M,44-65,0.0,0.0,191516.43616118794,0.3333,Low Risk - Low Value
363,1,0.0,0,3,0,0,3.0,0.0,59,Unknown,1,Lagos,Mafoluku,8,2,1,732551.19,1904735.71,1.2M and above,44-65,0.9999996666667778,0.0,244183.64860545043,0.0,High Risk
364,4,0.0,0,0,0,0,3.0,26.66,35,Unknown,1,Lagos,Isheri,8,2,1,25157192.46,30220837.14,1.2M and above,33-37,0.0,0.0,8385728.024757325,0.2666,Low Risk - High Value
368,1,0.0,0,0,0,0,3.0,54.16,57,Unknown,1,Lagos,Lagos,8,2,1,1828112.88,2079502.48,1.2M and above,44-65,0.0,0.0,609370.7568764143,0.5416,Low Risk - High Value
369,3,0.0,0,2,0,0,5.0,25.0,39,Unknown,1,Lagos,Lagos,8,2,1,3505555.04,1332397.56,1.2M and above,37-44,0.399999920000016,0.0,701110.8677778264,0.25,Low Risk - High Value
373,1,453040.84,79,3,1,1,3.0,38.88,33,Unknown,4,Ogun,Mosa,8,2,1,7828770.96,21010463.0,1.2M and above,28-33,0.9999996666667778,0.057868705358055605,2609589.4501368497,0.38880000000000003,High Risk
374,1,0.0,0,5,0,0,12.0,26.33,35,Unknown,1,Lagos,Ikorodu ,8,0,1,16624708.8,880334.0,800k - 1.19M,33-37,0.41666663194444736,0.0,1385392.284550643,0.2633,Medium Risk - High Value
378,1,0.0,0,2,0,0,3.0,8.33,48,Unknown,1,Lagos,Lagos,8,2,1,1757941.38,6619664.29,1.2M and above,44-65,0.6666664444445185,0.0,585980.264673245,0.0833,Medium Risk - Low Value
380,3,29403.0,0,6,1,2,6.0,24.44,34,Unknown,1,Federal Capital Territory,Jiwa,8,0,1,4322786.84,200000.0,150k - 299k,33-37,0.9999998333333611,0.006801862106157702,720464.3532559411,0.2444,High Risk
382,1,0.0,0,3,0,0,3.0,0.0,42,Unknown,1,Lagos,Surulere ,8,2,1,2240744.58,2770127.96,1.2M and above,37-44,0.9999996666667778,0.0,746914.611028463,0.0,High Risk
383,1,0.0,0,2,0,0,3.0,8.33,28,Unknown,4,Lagos,Ipaja,13,2,1,3855135.48,29777719.36,1.2M and above,18-28,0.6666664444445185,0.0,1285044.731651756,0.0833,Medium Risk - Low Value
386,1,0.0,0,0,0,0,6.0,16.66,33,Unknown,4,Lagos,Agege,8,0,1,1271129.08,380960.0,300k - 499k,28-33,0.0,0.0,211854.81135753143,0.1666,Low Risk - Low Value
387,2,0.0,0,3,0,0,3.0,15.66,33,Unknown,4,Lagos,Lagos,8,0,4,4279609.82,1154806.91,800k - 1.19M,28-33,0.9999996666667778,0.0,1426536.1311546229,0.1566,High Risk
389,1,0.0,0,2,0,0,3.0,19.44,39,Unknown,1,Lagos,Oko Oba ,8,2,1,1751070.75,5791556.48,1.2M and above,37-44,0.6666664444445185,0.0,583690.0554366482,0.19440000000000002,Medium Risk - High Value
392,1,0.0,0,1,0,0,3.0,19.44,54,Unknown,4,Lagos,Lagos ,8,2,1,2091883.62,4574384.39,1.2M and above,44-65,0.33333322222225925,0.0,697294.3075685642,0.19440000000000002,Low Risk - High Value
393,1,0.0,0,1,0,0,3.0,19.44,41,Unknown,1,Lagos,Ifako,8,2,1,1563036.63,2335557.68,1.2M and above,37-44,0.33333322222225925,0.0,521012.03632932116,0.19440000000000002,Low Risk - High Value
404,2,48257.07,0,3,1,2,3.0,16.66,34,Unknown,4,Lagos,Lagos ,8,0,1,1102911.06,2133600.0,1.2M and above,33-37,0.9999996666667778,0.043754271536597195,367636.89745436754,0.1666,High Risk
411,1,0.0,0,0,0,0,3.0,38.89,36,Unknown,4,Lagos,Lowa estate Haruna bus stop Ikorodu lagos,8,2,1,296541.3,195171.9,150k - 299k,33-37,0.0,0.0,98847.06705097764,0.3889,Low Risk - Low Value
412,1,0.0,0,3,0,0,3.0,0.0,64,Unknown,1,Lagos,Mafoluku oshodi ,8,2,1,196357.77,430428.57,300k - 499k,44-65,0.9999996666667778,0.0,65452.56818247727,0.0,High Risk
421,1,0.0,0,10,0,0,12.0,0.0,48,Unknown,1,Ogun,Ota,8,0,1,4055626.75,194359.0,150k - 299k,44-65,0.8333332638888947,0.0,337968.86766926106,0.0,High Risk
451,2,0.0,0,0,0,0,12.0,23.33,30,Unknown,2,Lagos,Ibeju Lekki,8,2,5,24454444.89,994539.61,800k - 1.19M,28-33,0.0,0.0,2037870.2376774803,0.23329999999999998,Low Risk - High Value
463,2,0.0,0,0,0,0,4.0,0.0,31,Unknown,2,Lagos,Ibeju Lekki,7,0,5,638861.67,206929.0,150k - 299k,28-33,0.0,0.0,159715.3775711556,0.0,Low Risk - Low Value
469,1,73723.0,0,1,0,0,6.0,0.0,31,Unknown,2,Lagos,Ikorodu,8,0,5,898507.76,202762.0,150k - 299k,28-33,0.16666663888889352,0.0820504877998137,149751.2683747886,0.0,Low Risk - Low Value
470,1,0.0,0,0,0,0,7.0,35.83,27,Unknown,4,Lagos,Ogba,8,0,5,2094909.32,212718.0,150k - 299k,18-28,0.0,0.0,299272.7172467547,0.3583,Low Risk - Low Value
482,3,84652.9,0,7,1,1,8.0,48.68,43,Unknown,1,Lagos,Ijesha Surulere ,8,2,1,8554151.69,209434.0,150k - 299k,37-44,0.8749998906250137,0.009896118641308557,1069268.8275913966,0.4868,High Risk
488,1,0.0,0,0,0,0,12.0,55.68,49,Unknown,1,Lagos,Lekki Lagos ,8,0,1,29267780.57,2619676.0,1.2M and above,44-65,0.0,0.0,2438981.5109182075,0.5568,Low Risk - High Value
489,1,0.0,0,0,0,0,3.0,0.0,33,Unknown,1,Lagos,Amukoko,4,2,1,562945.16,4133389.5,1.2M and above,28-33,0.0,0.0,187648.3241172253,0.0,Low Risk - Low Value
491,1,0.0,0,0,0,0,3.0,0.0,28,Unknown,4,Ogun,Ogijo,8,0,1,91434.6,255993.95,150k - 299k,18-28,0.0,0.0,30478.189840603387,0.0,Low Risk - Low Value
499,1,0.0,0,1,0,0,3.0,19.44,33,Unknown,4,Lagos,Igbogbo ,13,2,1,295878.93,910015.69,800k - 1.19M,28-33,0.33333322222225925,0.0,98626.27712457429,0.19440000000000002,Low Risk - Low Value
502,1,0.0,0,0,0,0,3.0,0.0,39,Unknown,1,Lagos,Lagos ,8,2,1,422289.46,2392843.93,1.2M and above,37-44,0.0,0.0,140763.10641229787,0.0,Low Risk - Low Value
509,1,0.0,0,3,0,0,3.0,0.0,47,Unknown,1,Lagos,Ifako ijaiye,8,2,1,913666.44,1540198.64,1.2M and above,44-65,0.9999996666667778,0.0,304555.3784815405,0.0,High Risk
515,3,132164.2,0,5,0,0,10.0,32.26,47,Unknown,1,Oyo,Ibadan,8,0,1,7118520.03,164806.67,150k - 299k,44-65,0.499999950000005,0.01856624683824644,711851.9318148069,0.3226,Medium Risk - High Value
518,1,0.0,0,1,0,0,3.0,0.0,31,Unknown,4,Lagos,Lagos,8,2,1,968924.2,3230124.17,1.2M and above,28-33,0.33333322222225925,0.0,322974.62567512476,0.0,Low Risk - Low Value
527,1,0.0,0,1,0,0,3.0,19.44,38,Unknown,1,Lagos,Lagos,8,2,1,3855135.48,25373950.0,1.2M and above,37-44,0.33333322222225925,0.0,1285044.731651756,0.19440000000000002,Low Risk - High Value
529,1,0.0,0,0,0,0,6.0,55.33,34,Unknown,0,Oyo,Ibadan ,13,0,1,446938.18,129359.22,70k - 149k,33-37,0.0,0.0,74489.68425171929,0.5533,Low Risk - Low Value
536,3,0.0,15,4,0,0,5.0,35.29,56,Unknown,1,Lagos,Ajah,8,0,1,15940289.0,63978505.97,1.2M and above,44-65,0.799999840000032,0.0,3188057.1623885673,0.3529,High Risk
547,1,0.0,0,0,0,0,3.0,0.0,63,Unknown,1,Lagos,Lagos,7,2,1,754162.41,5521071.43,1.2M and above,44-65,0.0,0.0,251387.3862042046,0.0,Low Risk - Low Value
549,6,0.0,0,2,0,0,8.0,12.87,28,Unknown,4,Federal Capital Territory,Garki,12,2,1,63491754.36,1668096.07,1.2M and above,18-28,0.24999996875000394,0.0,7936468.302941463,0.12869999999999998,Low Risk - Low Value
551,1,0.0,0,1,0,0,3.0,19.44,30,Unknown,4,Ogun,Obada,8,2,1,2841234.15,7793456.45,1.2M and above,28-33,0.33333322222225925,0.0,947077.7343074218,0.19440000000000002,Low Risk - High Value
552,2,0.0,0,0,0,0,5.0,36.66,36,Unknown,1,Ogun,Ogun,8,2,1,2729997.63,1732851.89,1.2M and above,33-37,0.0,0.0,545999.4168001167,0.3666,Low Risk - High Value
554,1,213186.6,17,3,1,1,3.0,20.83,50,Unknown,1,Lagos,Lagos mainland ,8,2,1,2534108.32,1106396.76,800k - 1.19M,44-65,0.9999996666667778,0.08412686952541788,844702.491765836,0.20829999999999999,High Risk
560,1,0.0,0,2,0,0,3.0,8.33,39,Unknown,1,Ogun,Ogun,8,2,1,3855135.48,10533891.02,1.2M and above,37-44,0.6666664444445185,0.0,1285044.731651756,0.0833,Medium Risk - Low Value
561,1,0.0,0,1,0,0,2.0,0.0,36,Unknown,1,Lagos,Lagos ,8,2,1,2379861.98,15529814.47,1.2M and above,33-37,0.499999750000125,0.0,1189930.3950348024,0.0,Medium Risk - Low Value
677,1,0.0,0,3,0,0,3.0,0.0,45,Unknown,1,Lagos,Lagos,13,2,1,1372428.09,13758223.49,1.2M and above,44-65,0.9999996666667778,0.0,457475.8775080408,0.0,High Risk
680,1,0.0,0,2,0,0,3.0,8.33,57,Unknown,1,Ekiti,ADo,8,2,1,370835.73,2004535.71,1.2M and above,44-65,0.6666664444445185,0.0,123611.86879604372,0.0833,Medium Risk - Low Value
684,1,0.0,0,2,0,0,3.0,8.33,26,Unknown,1,Lagos,Lagos,8,2,1,1549764.33,3440607.14,1.2M and above,18-28,0.6666664444445185,0.0,516587.9378040207,0.0833,Medium Risk - Low Value
695,1,0.0,0,0,0,0,2.0,16.66,49,Unknown,1,Lagos,Ketu,8,2,1,2379861.98,11576627.28,1.2M and above,44-65,0.0,0.0,1189930.3950348024,0.1666,Low Risk - High Value
696,3,0.0,0,2,0,0,5.0,9.72,29,Unknown,4,Lagos,Lagos ,8,0,1,1884241.8,225000.0,150k - 299k,28-33,0.399999920000016,0.0,376848.2846303431,0.09720000000000001,Low Risk - Low Value
705,2,18805.0,0,9,0,0,10.0,41.78,37,Unknown,4,Lagos,Ikeja,8,0,1,2674401.54,235546.5,150k - 299k,33-37,0.8999999100000091,0.0070314796483376876,267440.1272559873,0.4178,High Risk
706,3,0.0,0,2,0,0,4.0,22.4,29,Unknown,1,Lagos,Agege ,8,0,1,1819672.1,142846.0,70k - 149k,28-33,0.49999987500003124,0.0,454917.91127052216,0.22399999999999998,Medium Risk - High Value
709,1,0.0,0,0,0,0,6.0,46.9,55,Unknown,1,Rivers,Port Harcourt ,2,0,1,1325644.14,105130.0,70k - 149k,44-65,0.0,0.0,220940.65317655777,0.469,Low Risk - Low Value
710,1,0.0,0,0,0,0,3.0,38.89,50,Unknown,1,Lagos,Ayobo ,7,2,1,256429.17,834938.88,800k - 1.19M,44-65,0.0,0.0,85476.3615078795,0.3889,Low Risk - Low Value
733,1,0.0,0,3,0,0,3.0,0.0,32,Unknown,4,Delta,Warri,8,2,1,3465766.59,594.54,<69k,28-33,0.9999996666667778,0.0,1155255.1449149516,0.0,High Risk
735,1,100803.05,0,3,0,0,3.0,0.0,30,Unknown,4,Lagos,Iyana ipaja,8,2,1,898246.68,470930.81,300k - 499k,28-33,0.9999996666667778,0.11222201233172137,299415.4601948466,0.0,High Risk
754,1,522.58,0,3,0,0,3.0,0.0,22,Unknown,4,Lagos,Ikorodu,8,2,1,470327.1,464691.71,300k - 499k,18-28,0.9999996666667778,0.0011110990627563007,156775.64774145072,0.0,High Risk
769,2,0.0,0,3,0,0,3.0,13.88,33,Unknown,1,Ekiti,Ado ,8,2,1,684570.48,1284623.06,1.2M and above,28-33,0.9999996666667778,0.0,228190.08393663866,0.1388,High Risk
772,5,0.0,0,0,0,0,2.0,26.19,28,Unknown,4,Lagos,Lagos ,8,0,1,982731.18,485781.0,300k - 499k,18-28,0.0,0.0,491365.34431732784,0.2619,Low Risk - High Value
775,1,0.0,0,0,0,0,3.0,16.66,31,Unknown,4,Ogun,Ogun,11,0,1,135583.78,119584.0,70k - 149k,28-33,0.0,0.0,45194.57826847391,0.1666,Low Risk - Low Value
776,1,944.0,0,3,0,0,3.0,0.0,57,Unknown,1,Lagos,Olorunsogo ,13,2,1,323494.89,715001.54,500k - 799k,44-65,0.9999996666667778,0.0029181295568442575,107831.59405613532,0.0,High Risk
780,3,0.0,0,2,0,0,3.0,13.05,43,Unknown,1,Lagos,Mushin,8,2,1,2695472.42,2536566.89,1.2M and above,37-44,0.6666664444445185,0.0,898490.5071698308,0.1305,Medium Risk - Low Value
813,1,0.0,0,1,0,0,3.0,19.44,38,Unknown,1,Oyo,Ibadan ,2,0,1,659227.56,214081.77,150k - 299k,37-44,0.33333322222225925,0.0,219742.44675251775,0.19440000000000002,Low Risk - Low Value
814,1,47341.0,0,1,0,0,3.0,0.0,44,Unknown,1,Lagos,Lagos,1,2,1,260456.82,945992.86,800k - 1.19M,37-44,0.33333322222225925,0.18176141442492555,86818.91106036298,0.0,Low Risk - Low Value
839,1,0.0,0,3,0,0,5.0,0.0,28,Unknown,4,Osun,Osun,8,0,1,880682.07,169247.0,150k - 299k,18-28,0.599999880000024,0.0,176136.37877272422,0.0,Medium Risk - Low Value
841,2,0.0,0,1,0,0,3.0,14.58,25,Unknown,4,Lagos,Ikotun,8,2,1,3429085.98,42200.46,<69k,18-28,0.33333322222225925,0.0,1143028.2789905737,0.1458,Low Risk - Low Value
849,1,0.0,0,3,0,0,3.0,0.0,26,Unknown,4,Ogun,Idi aba,1,0,1,215472.96,94934.0,70k - 149k,18-28,0.9999996666667778,0.0,71824.29605856797,0.0,High Risk
851,1,0.0,0,1,0,0,3.0,19.44,29,Unknown,4,Lagos,Lagos ,8,0,1,410286.93,1392847.42,1.2M and above,28-33,0.33333322222225925,0.0,136762.26441257852,0.19440000000000002,Low Risk - Low Value
